folder	final	source
iter_1	88	1428
iter_2	9	1047
iter_3	48	2421
iter_4	33	1822
iter_5	13	1773
iter_6	17	1135
iter_7	11	2333
iter_8	NA	NA
iter_9	43	2754
iter_10	16	1224
iter_11	58	446
iter_12	13	1876
iter_13	45	581
iter_14	39	2044
iter_15	13	949
iter_16	16	2849
iter_17	13	728
iter_18	16	733
iter_19	13	961
iter_20	13	2177
iter_21	13	1209
iter_22	35	1881
iter_23	28	584
iter_24	20	2044
iter_25	18	950
iter_26	13	2846
iter_27	26	726
iter_28	13	736
iter_29	9	963
iter_30	13	2186
iter_31	16	1209
