folder	final	source
iter_1	16	39
iter_2	9	16
iter_3	13	20
iter_4	33	59
iter_5	13	23
iter_6	17	126
iter_7	11	23
iter_8	NA	NA
iter_9	17	26
iter_10	16	75
iter_11	58	111
iter_12	13	49
iter_13	45	134
iter_14	16	25
iter_15	13	58
iter_16	16	42
iter_17	13	78
iter_18	16	34
iter_19	13	50
iter_20	13	55
iter_21	13	21
iter_22	35	193
iter_23	28	114
iter_24	20	134
iter_25	18	71
iter_26	13	29
iter_27	26	154
iter_28	13	68
iter_29	9	38
iter_30	13	23
iter_31	16	57
