folder	final	source
iter_1	22	1588
iter_2	22	2527
iter_3	19	2745
iter_4	22	4061
iter_5	24	1487
iter_6	27	2298
iter_7	22	1627
iter_8	19	2227
iter_9	22	2279
iter_10	22	1337
iter_11	22	1741
iter_12	22	827
iter_13	22	2373
iter_14	22	2818
