folder	final	source
iter_1	22	73
iter_2	22	162
iter_3	19	419
iter_4	22	77
iter_5	24	137
iter_6	27	120
iter_7	22	71
iter_8	19	126
iter_9	22	132
iter_10	22	221
iter_11	22	49
iter_12	22	104
iter_13	22	135
iter_14	22	89
