folder	final	source
iter_1	167	717
iter_2	76	244
iter_3	56	102
iter_4	114	365
iter_5	52	131
iter_6	47	182
iter_7	25	461
iter_8	NA	NA
iter_9	74	123
iter_10	25	230
iter_11	142	303
iter_12	49	674
iter_13	138	377
iter_14	109	250
iter_15	85	406
iter_16	85	356
iter_17	32	156
iter_18	27	132
iter_19	86	410
iter_20	86	490
