folder	final	source
iter_1	16	1155
iter_2	9	955
iter_3	13	2139
iter_4	33	1720
iter_5	13	1555
iter_6	17	1080
iter_7	11	2205
iter_8	NA	NA
iter_9	17	2366
iter_10	16	1088
iter_11	55	408
iter_12	13	1793
iter_13	45	582
iter_14	16	2043
iter_15	13	936
iter_16	16	2573
iter_17	13	742
iter_18	13	641
iter_19	13	875
iter_20	13	2127
iter_21	13	1084
iter_22	24	1801
iter_23	16	585
iter_24	20	2046
iter_25	15	937
iter_26	13	2570
iter_27	26	741
iter_28	13	663
iter_29	9	877
iter_30	13	2127
iter_31	16	1084
