folder	final	source
iter_1	167	303
iter_2	73	214
iter_3	56	103
iter_4	114	324
iter_5	52	122
iter_6	47	104
iter_7	25	395
iter_8	NA	NA
iter_9	74	105
iter_10	25	145
iter_11	142	251
iter_12	49	572
iter_13	138	383
iter_14	109	245
iter_15	62	311
iter_16	85	284
iter_17	32	145
iter_18	27	108
iter_19	30	234
iter_20	83	418
