folder	final	source
iter_1	16	39
iter_2	9	16
iter_3	13	20
iter_4	33	60
iter_5	13	23
iter_6	17	129
iter_7	11	23
iter_8	NA	NA
iter_9	17	26
iter_10	16	32
iter_11	55	118
iter_12	13	49
iter_13	45	112
iter_14	16	25
iter_15	13	35
iter_16	16	42
iter_17	13	37
iter_18	13	25
iter_19	13	50
iter_20	13	55
iter_21	13	21
iter_22	24	43
iter_23	16	24
iter_24	20	87
iter_25	15	37
iter_26	13	29
iter_27	26	143
iter_28	13	32
iter_29	9	17
iter_30	13	23
iter_31	16	28
