folder	final	source
iter_1	167	7500
iter_2	73	648
iter_3	56	693
iter_4	114	2200
iter_5	52	651
iter_6	47	2112
iter_7	25	2932
iter_8	NA	NA
iter_9	74	1586
iter_10	25	5072
iter_11	142	4890
iter_12	49	2118
iter_13	138	1978
iter_14	109	3078
iter_15	62	2360
iter_16	81	1801
iter_17	32	2508
iter_18	27	1812
iter_19	45	2644
iter_20	82	2484
