folder	final	source
iter_1	22	85
iter_2	29	250
iter_3	22	474
iter_4	29	181
iter_5	24	167
iter_6	27	246
iter_7	22	277
iter_8	19	131
iter_9	22	160
iter_10	22	253
iter_11	22	51
iter_12	22	192
iter_13	22	138
iter_14	22	139
